title,subtitle,quantity,price_per_metric,promo_message,old_price,discount,new_price,eye_catcher,additional_offers,category_id,url,availability
K-Classic,Candelă ulei timp de ardere: 120 h,1 buc,,,"5,99",- 41%,"3,49",,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00081686.html,Valabilitate: din 21.10.2020 până în 27.10.2020
K-Classic,Candelă ulei timp de ardere: 60 h,1 buc,,,"3,29",- 39%,"1,99",,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00081688.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Bormioli,Bol cca. 23 cm,1 buc,,,,,"11,99",Ofertă specială,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00082243.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Bormioli,Cană,1 buc,,,,,"6,99",Ofertă specială,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00085235.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Candelă cu capac,pentru exterior timp de ardere: 10 h,1 buc,,,"3,19",- 37%,"1,99",,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00086878.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Vase emailate,,1 buc,,,,,"12,99",Ofertă specială,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00089260.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Lampion cu LED,,1 buc,,,,,"6,99",Ofertă specială,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00091872.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Costum vrăjitoare,mărime: 128-140,1 buc,,,,,"24,99",Ofertă specială,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00091879.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Costum vrăjitoare,mărime: 152-164,1 buc,,,,,"24,99",Ofertă specială,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00091882.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Costum schelet,,1 buc,,,,,"24,99",Ofertă specială,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00091894.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Costum schelet,mărime: 152-164,1 buc,,,,,"24,99",Ofertă specială,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00091896.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Mănuşi schelet,,1 buc,,,,,"6,99",Ofertă specială,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00091907.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Coroniță Halloween,,1 buc,,,,,"6,99",Ofertă specială,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00091908.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Figurină decorativă,,1 buc,,,,,"6,99",Ofertă specială,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00091910.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Mască Halloween,,1 buc,,,,,"19,99",Ofertă specială,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00091927.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Mască Halloween,,1 buc,,,,,"19,99",Ofertă specială,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00091929.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Costum vampir,,1 buc,,,,,"24,99",Ofertă specială,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00092016.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Linguriţă,,1 buc,,,,,"1,49",Ofertă specială,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00095391.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Lingură,,1 buc,,,,,"1,49",Ofertă specială,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00095392.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Furculiţă,,1 buc,,,,,"1,49",Ofertă specială,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00095393.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Bormioli,"Bol cca. 13,5 cm",1 buc,,,,,"5,99",Ofertă specială,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00101652.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Bormioli,Platou oval,1 buc,,,,,"11,99",Ofertă specială,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00105068.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Candelă cu capac,timp de ardere: 10 h,1 buc,,,,,"0,99",Ofertă specială,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00105696.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Instalaţie decorativă,,1 buc,,,,,"9,99",Ofertă specială,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00111736.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Instalaţie decorativă,,1 buc,,,,,"9,99",Ofertă specială,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00111814.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Geantă Halloween,,1 buc,,,,,"11,99",Ofertă specială,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00111815.html,Valabilitate: din 21.10.2020 până în 27.10.2020
K-Classic,Şerveţele albe,1 set,,,,,"1,99",,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00113120.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Decorațiune Halloween,,1 buc,,,,,"5,99",Ofertă specială,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00113262.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Decorațiune Halloween,,1 buc,,,,,"3,99",Ofertă specială,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00113264.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Găleată Halloween cu LED,,1 buc,,,,,"19,99",Ofertă specială,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00113313.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Farfurie desert,,1 buc,,,,,"2,99",Ofertă specială,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00115174.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Bol,"cca. 0,95 l",1 buc,,,,,"4,99",Ofertă specială,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00115175.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Farfurie întinsă,,1 buc,,,,,"3,99",Ofertă specială,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00115176.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Farfurie adâncă,,1 buc,,,,,"3,49",Ofertă specială,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00115177.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Cană,,1 buc,,,,,"4,99",Ofertă specială,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00115178.html,Valabilitate: din 21.10.2020 până în 27.10.2020
Bol,"cca. 0,25 l",1 buc,,,,,"3,49",Ofertă specială,1,01a,https://www.kaufland.ro/oferte/saptamana-curenta/produs.so_id=00115179.html,Valabilitate: din 21.10.2020 până în 27.10.2020
