page_number,chars,x0,x1,y0,y1,labels
7,  19-20.10.2020              19-20.10.2020             19-20.10.2020           19-20.10.2020  19-20.10.2020              19-20.10.2020             19-20.10.2020           19-20.10.2020,24.09447,529.2648800000002,761.27093,775.27093,9
7,LUNI&  MARȚI,94.47887,177.51505298996796,597.3326400000001,640.5191599999999,10
7,LUNI&  MARȚI,455.68865999999997,538.724842989968,597.04248,640.229,11
7,LUNI&  MARȚI,96.42737,179.463552989968,201.56973,244.75627999999998,12
7,LUNI&  MARȚI,274.67258,357.708762989968,597.53674,640.7233200000002,13
7,LUNI&  MARȚI,454.11315999999994,537.149342989968,229.19772000000003,272.38427,14
7,LUNI&  MARȚI,275.16397,358.20015298996805,220.11264,263.29921,15
7, -28%,113.60746999999999,159.41747,574.2641,592.2641,16
7,"1,99",120.55436999999999,173.90636999999995,522.0877,549.0877,17
7,"2,79",98.99996999999999,130.71197,551.7064799999999,567.7064799999999,18
7, -29%,474.46347000000003,520.48947,574.5931400000001,592.5931400000001,19
7, -24%,115.56376999999999,161.46376999999995,179.87738000000002,197.87738000000002,20
7,"2,69",479.07327000000004,534.9362699999998,521.8042,548.8042,21
7,"1,99",122.59228,175.94428,127.09116000000002,154.09116,22
7,"3,79",460.10077,491.94077,551.42309,567.42309,23
7,"2,65",101.10037,132.95637,156.7073,172.7073,24
7, -24%,294.06897000000004,339.96897,575.14911,593.14911,25
7,"3,29",297.47098,354.44098,523.05548,550.05548,26
7,"4,36",279.60556,312.29356000000007,552.67431,568.67431,27
7, -31%,475.09414000000004,517.7901400000001,207.09368999999998,225.09368999999998,28
7,"4,99",476.59756,533.86456,154.71651,181.71651,29
7,"7,29",459.02878,490.98078,184.33539,200.33539,30
7, -20%,294.06958,339.93357999999995,197.74058,215.74058,31
7,"3,39",298.38885,354.41385,145.43989,172.43989,32
7,"4,29",279.57876,312.13876,175.05878,191.05878,33
7,BUCUR,470.60095,504.97095,699.74163,709.74163,34
7,Bere blondă/  Bere neagră,470.55096,534.99096,675.74163,697.74163,35
7,"5% alcool 0,35 l",470.55118,506.15118,646.3781700000001,673.85821,36
7,sticlă nereturnabilă,470.55118,542.1503799999999,655.97821,663.97821,37
7,BUCOVINA Apă minerală  naturală,126.37786000000001,193.34786,278.29819,312.29819,38
7,plată pet 2 l,126.37796999999999,145.85797,248.93468,276.41467,39
7,BERGENBIER Bere blondă,108.16816999999999,171.58817000000005,690.8829900000001,712.8829900000001,40
7,"Fresh lemon /  grapefruit 1,9% alcool doză 0,5 l",108.16826999999999,160.19227000000004,642.0396099999999,688.99963,41
7,EFES,290.97235,315.08235,686.55243,696.55243,42
7,Bere blondă,290.92236,348.48236,674.55243,684.55243,43
7,"5% alcool doză 0,5 l",290.92245,326.52245,645.18896,672.669,44
7,SKOL,383.07867000000005,409.57867000000005,187.47548,197.47548,45
7,Bere blondă,383.02868,440.58867999999995,175.47548,185.47548,46
7,"4,6% alcool",383.02878,425.37278,165.59208999999998,173.59208999999998,47
7,"pet 2,5 l",383.02878,398.91677999999996,146.11209,163.7121,48
7,STEJAR Bere blondă,204.24415,261.80415,156.80809,178.80809,49
7,7% alcool pet 1 l,204.24426,239.68426,127.44469,154.92468,50
7,S7-RO-KW43-KDZ-REDLM2_R-1000-07,435.12167,541.66367,12.53856,18.53856,51
7,7,536.08752,541.83752,22.67715,32.67715,52
8,Articolele se găsesc în limita stocului disponibil. Vindem în cantități destinate exclusiv consumului personal.,212.28116,541.4176599999997,11.33849,18.33849,0
8,LUNI&MARȚI . LUNI&MARȚI . LUNI&MARȚI. LUNI&MARȚI,15.539169,538.6592893683776,42.75459000000001,98.0205194461068,1
8,OFERTE,250.98009,352.358927078877,675.7055,702.5466,2
