,Char,x0,x1,width,y0,y1,height
135,‘,400.06305,401.67345,1.610400000000027,47.57959,54.179590000000005,6.600000000000001
136, ,401.47545,403.19145000000003,1.7160000000000082,47.57959,54.179590000000005,6.600000000000001
137,ș,402.99345,405.98985,2.996399999999994,47.57959,54.179590000000005,6.600000000000001
138,i,405.79185,407.48805,1.6961999999999762,47.57959,54.179590000000005,6.600000000000001
139, ,407.29005,409.00605,1.7160000000000082,47.57959,54.179590000000005,6.600000000000001
140,„,408.80805,411.56025,2.752200000000016,47.57959,54.179590000000005,6.600000000000001
141,D,411.36225,416.21325,4.850999999999999,47.57959,54.179590000000005,6.600000000000001
142,e,415.98225,419.67165,3.689399999999978,47.57959,54.179590000000005,6.600000000000001
143, ,419.47365,421.18965000000003,1.7160000000000082,47.57959,54.179590000000005,6.600000000000001
144,l,420.99165,422.69445,1.7028000000000247,47.57959,54.179590000000005,6.600000000000001
145,u,422.49645,426.32444999999996,3.8279999999999745,47.57959,54.179590000000005,6.600000000000001
146,n,426.12645,429.94784999999996,3.821399999999983,47.57959,54.179590000000005,6.600000000000001
147,i,429.74985,431.44604999999996,1.6961999999999762,47.57959,54.179590000000005,6.600000000000001
148,",",431.24805,432.82545,1.5774000000000115,47.57959,54.179590000000005,6.600000000000001
149, ,432.62745,434.34345,1.7160000000000082,47.57959,54.179590000000005,6.600000000000001
150,1,434.14545,437.00985,2.864399999999989,47.57959,54.179590000000005,6.600000000000001
151,9,436.81185,440.75205,3.9402000000000044,47.57959,54.179590000000005,6.600000000000001
152,.,440.55405,442.13145000000003,1.5774000000000115,47.57959,54.179590000000005,6.600000000000001
153,1,441.93345,444.79785,2.864399999999989,47.57959,54.179590000000005,6.600000000000001
154,0,444.59985,448.51365,3.9137999999999806,47.57959,54.179590000000005,6.600000000000001
155, ,448.31565,450.03165,1.7160000000000082,47.57959,54.179590000000005,6.600000000000001
156,p,449.83365,453.80685,3.97320000000002,47.57959,54.179590000000005,6.600000000000001
157,â,453.60885,457.58865000000003,3.9798000000000116,47.57959,54.179590000000005,6.600000000000001
158,n,457.39065,461.21205,3.821399999999983,47.57959,54.179590000000005,6.600000000000001
159,ă,460.98105,464.96085,3.9798000000000116,47.57959,54.179590000000005,6.600000000000001
160, ,464.76285,466.47885,1.7160000000000082,47.57959,54.179590000000005,6.600000000000001
161,d,466.28085,470.28704999999997,4.0061999999999784,47.57959,54.179590000000005,6.600000000000001
162,u,470.08905,473.91704999999996,3.8279999999999745,47.57959,54.179590000000005,6.600000000000001
163,m,473.71905,479.46105,5.742000000000019,47.57959,54.179590000000005,6.600000000000001
164,i,479.26305,480.95925,1.6961999999999762,47.57959,54.179590000000005,6.600000000000001
165,n,480.76125,484.58265,3.821399999999983,47.57959,54.179590000000005,6.600000000000001
166,i,484.38465,486.08085,1.6961999999999762,47.57959,54.179590000000005,6.600000000000001
167,c,485.88285,489.13665000000003,3.2538000000000125,47.57959,54.179590000000005,6.600000000000001
168,ă,488.77365,492.75345,3.9798000000000116,47.57959,54.179590000000005,6.600000000000001
169,",",492.55545,494.13285,1.5774000000000115,47.57959,54.179590000000005,6.600000000000001
170, ,493.93485,495.65085,1.7160000000000082,47.57959,54.179590000000005,6.600000000000001
171,2,495.45285,499.32045,3.8675999999999817,47.57959,54.179590000000005,6.600000000000001
172,5,499.08945,502.97685,3.8874000000000137,47.57959,54.179590000000005,6.600000000000001
173,.,502.77885,504.35625,1.5774000000000115,47.57959,54.179590000000005,6.600000000000001
174,1,504.15825,507.02265,2.864399999999989,47.57959,54.179590000000005,6.600000000000001
175,0,506.82465,510.73845,3.9137999999999806,47.57959,54.179590000000005,6.600000000000001
176,.,510.54045,512.11785,1.5773999999999546,47.57959,54.179590000000005,6.600000000000001
177,2,511.91985,515.78745,3.8676000000000386,47.57959,54.179590000000005,6.600000000000001
178,0,515.5564499999999,519.47025,3.9138000000000375,47.57959,54.179590000000005,6.600000000000001
179,2,519.1402499999999,523.00785,3.8676000000000386,47.57959,54.179590000000005,6.600000000000001
180,0,522.77685,526.69065,3.9138000000000375,47.57959,54.179590000000005,6.600000000000001
181,‘,526.49265,528.10305,1.610400000000027,47.57959,54.179590000000005,6.600000000000001
182,‘,527.90505,529.51545,1.610400000000027,47.57959,54.179590000000005,6.600000000000001
183,.,529.31745,530.89485,1.5774000000000115,47.57959,54.179590000000005,6.600000000000001
184, ,530.89485,532.61085,1.7160000000000082,47.57959,54.179590000000005,6.600000000000001
185, ,532.21483,533.93083,1.7160000000000082,47.57959,54.179590000000005,6.600000000000001
186,A,14.17327,19.234270000000002,5.061000000000002,39.57959,46.57959,7.0
187,r,19.02427,21.481270000000002,2.4570000000000007,39.57959,46.57959,7.0
188,t,21.27127,24.078270000000003,2.807000000000002,39.57959,46.57959,7.0
189,i,23.868270000000003,25.359270000000002,1.4909999999999997,39.57959,46.57959,7.0
190,c,25.14927,28.572270000000003,3.423000000000002,39.57959,46.57959,7.0
191,o,28.215269999999997,32.28227,4.067,39.57959,46.57959,7.0
192,l,32.072269999999996,33.563269999999996,1.4909999999999997,39.57959,46.57959,7.0
193,e,33.353269999999995,37.252269999999996,3.899000000000001,39.57959,46.57959,7.0
194,l,37.042269999999995,38.533269999999995,1.4909999999999997,39.57959,46.57959,7.0
195,e,38.323269999999994,42.222269999999995,3.899000000000001,39.57959,46.57959,7.0
196, ,42.012269999999994,43.832269999999994,1.8200000000000003,39.57959,46.57959,7.0
197,s,43.62226999999999,46.54126999999999,2.918999999999997,39.57959,46.57959,7.0
198,e,46.261269999999996,50.16027,3.899000000000001,39.57959,46.57959,7.0
